country,date,feature,value
AE,2022-07-20,ActiveSubscription,134
AE,2022-07-20,NewSubscription,2
AE,2022-07-21,ActiveSubscription,132
AE,2022-07-21,NewSubscription,2
AE,2022-07-22,ActiveSubscription,129
AE,2022-07-23,ActiveSubscription,131
AE,2022-07-23,NewSubscription,4
AE,2022-07-24,ActiveSubscription,131
AE,2022-07-24,NewSubscription,2
AE,2022-07-25,ActiveSubscription,133
AE,2022-07-26,ActiveSubscription,134
AE,2022-07-26,NewSubscription,1
AE,2022-07-27,ActiveSubscription,137
AE,2022-07-27,NewSubscription,3
AE,2022-07-28,ActiveSubscription,136
AE,2022-07-28,NewSubscription,1
AE,2022-07-29,ActiveSubscription,138
AE,2022-07-30,ActiveSubscription,138
AE,2022-07-30,NewSubscription,1
AE,2022-07-31,ActiveSubscription,136
AE,2022-08-01,ActiveSubscription,134
AE,2022-08-01,NewSubscription,1
AE,2022-08-02,ActiveSubscription,134
AE,2022-08-02,NewSubscription,1
AE,2022-08-03,ActiveSubscription,133
AE,2022-08-03,NewSubscription,2
AE,2022-08-04,ActiveSubscription,131
AE,2022-08-05,ActiveSubscription,131
AE,2022-08-05,NewSubscription,3
AE,2022-08-06,ActiveSubscription,134
AE,2022-08-07,ActiveSubscription,135
AE,2022-08-08,ActiveSubscription,139
AE,2022-08-09,ActiveSubscription,142
AE,2022-08-10,ActiveSubscription,142
AE,2022-08-11,ActiveSubscription,142
AE,2022-08-11,NewSubscription,1
AE,2022-08-12,ActiveSubscription,140
AE,2022-08-13,ActiveSubscription,137
AE,2022-08-14,ActiveSubscription,137
AE,2022-08-15,ActiveSubscription,134
AE,2022-08-16,ActiveSubscription,130
AE,2022-08-17,ActiveSubscription,129
AE,2022-08-17,NewSubscription,1
AE,2022-08-18,ActiveSubscription,128
AE,2022-08-19,ActiveSubscription,128
AE,2022-08-20,ActiveSubscription,129
AE,2022-08-21,ActiveSubscription,128
AE,2022-08-22,ActiveSubscription,123
AE,2022-08-23,ActiveSubscription,122
AE,2022-08-24,ActiveSubscription,120
AE,2022-08-25,ActiveSubscription,119
AE,2022-08-26,ActiveSubscription,120
AE,2022-08-27,ActiveSubscription,119
AE,2022-08-28,ActiveSubscription,118
AE,2022-08-29,ActiveSubscription,118
AE,2022-08-30,ActiveSubscription,116
AE,2022-08-30,NewSubscription,1
AE,2022-08-31,ActiveSubscription,113
AE,2022-08-31,NewSubscription,4
AE,2022-09-01,ActiveSubscription,116
AE,2022-09-01,NewSubscription,1
AE,2022-09-02,ActiveSubscription,115
AE,2022-09-03,ActiveSubscription,117
AE,2022-09-03,NewSubscription,2
AE,2022-09-04,ActiveSubscription,119
AE,2022-09-05,ActiveSubscription,118
AE,2022-09-06,ActiveSubscription,120
AE,2022-09-06,NewSubscription,1
AE,2022-09-07,ActiveSubscription,120
AE,2022-09-08,ActiveSubscription,120
AE,2022-09-08,NewSubscription,1
AE,2022-09-09,ActiveSubscription,119
AE,2022-09-09,NewSubscription,2
AE,2022-09-10,ActiveSubscription,115
AE,2022-09-10,NewSubscription,1
AE,2022-09-11,ActiveSubscription,117
AE,2022-09-11,NewSubscription,4
AE,2022-09-12,ActiveSubscription,117
AE,2022-09-12,NewSubscription,1
AE,2022-09-13,ActiveSubscription,118
AE,2022-09-14,ActiveSubscription,116
AE,2022-09-14,NewSubscription,2
AE,2022-09-15,ActiveSubscription,115
AE,2022-09-16,ActiveSubscription,114
AE,2022-09-16,NewSubscription,1
AE,2022-09-17,ActiveSubscription,116
AE,2022-09-18,ActiveSubscription,116
AE,2022-09-19,ActiveSubscription,116
AE,2022-09-19,NewSubscription,3
AE,2022-09-20,ActiveSubscription,116
AE,2022-09-20,NewSubscription,2
AE,2022-09-21,ActiveSubscription,115
AE,2022-09-21,NewSubscription,1
AE,2022-09-22,ActiveSubscription,115
AE,2022-09-23,ActiveSubscription,115
AE,2022-09-23,NewSubscription,3
AE,2022-09-24,ActiveSubscription,115
AE,2022-09-25,ActiveSubscription,116
AE,2022-09-25,NewSubscription,1
AE,2022-09-26,ActiveSubscription,113
AE,2022-09-26,NewSubscription,3
AE,2022-09-27,ActiveSubscription,110
AE,2022-09-28,ActiveSubscription,113
AE,2022-09-28,NewSubscription,2
AE,2022-09-29,ActiveSubscription,118
AE,2022-09-29,NewSubscription,1
AE,2022-09-30,ActiveSubscription,122
AE,2022-09-30,NewSubscription,3
AE,2022-10-01,ActiveSubscription,122
AE,2022-10-01,NewSubscription,1
AE,2022-10-02,ActiveSubscription,120
AE,2022-10-02,NewSubscription,1
AE,2022-10-03,ActiveSubscription,118
AE,2022-10-03,NewSubscription,3
AE,2022-10-04,ActiveSubscription,117
AE,2022-10-04,NewSubscription,3
AE,2022-10-05,ActiveSubscription,117
AE,2022-10-06,ActiveSubscription,114
AE,2022-10-06,NewSubscription,2
AE,2022-10-07,ActiveSubscription,115
AE,2022-10-07,NewSubscription,1
AE,2022-10-08,ActiveSubscription,115
AE,2022-10-09,ActiveSubscription,117
AE,2022-10-10,ActiveSubscription,114
AE,2022-10-11,ActiveSubscription,115
AE,2022-10-12,ActiveSubscription,116
AE,2022-10-12,NewSubscription,1
AE,2022-10-13,ActiveSubscription,118
AE,2022-10-13,NewSubscription,1
AE,2022-10-14,ActiveSubscription,118
AE,2022-10-14,NewSubscription,4
AE,2022-10-15,ActiveSubscription,119
AE,2022-10-15,NewSubscription,1
AE,2022-10-16,ActiveSubscription,119
AE,2022-10-16,NewSubscription,1
AE,2022-10-17,ActiveSubscription,122
AE,2022-10-17,NewSubscription,2
AE,2022-10-18,ActiveSubscription,121
AE,2022-10-18,NewSubscription,4
AE,2022-10-19,ActiveSubscription,122
AE,2022-10-19,NewSubscription,1
AE,2022-10-20,ActiveSubscription,123
AE,2022-10-20,NewSubscription,1
AE,2022-10-21,ActiveSubscription,121
AE,2022-10-21,NewSubscription,2
AE,2022-10-22,ActiveSubscription,118
AE,2022-10-22,NewSubscription,1
AE,2022-10-23,ActiveSubscription,116
AE,2022-10-24,ActiveSubscription,113
AE,2022-10-24,NewSubscription,1
AE,2022-10-25,ActiveSubscription,111
AE,2022-10-26,ActiveSubscription,114
AE,2022-10-27,ActiveSubscription,114
AE,2022-10-28,ActiveSubscription,111
AE,2022-10-28,NewSubscription,3
AE,2022-10-29,ActiveSubscription,108
AE,2022-10-29,NewSubscription,2
AE,2022-10-30,ActiveSubscription,109
AE,2022-10-31,ActiveSubscription,109
AE,2022-10-31,NewSubscription,1
AE,2022-11-01,ActiveSubscription,110
AE,2022-11-01,NewSubscription,2
AE,2022-11-02,ActiveSubscription,112
AE,2022-11-02,NewSubscription,2
AE,2022-11-03,ActiveSubscription,112
AE,2022-11-03,NewSubscription,2
AE,2022-11-04,ActiveSubscription,115
AE,2022-11-04,NewSubscription,1
AE,2022-11-05,ActiveSubscription,118
AE,2022-11-06,ActiveSubscription,117
AE,2022-11-06,NewSubscription,2
AE,2022-11-07,ActiveSubscription,114
AE,2022-11-07,NewSubscription,1
AE,2022-11-08,ActiveSubscription,112
AE,2022-11-09,ActiveSubscription,114
AE,2022-11-09,NewSubscription,2
AE,2022-11-10,ActiveSubscription,118
AE,2022-11-10,NewSubscription,2
AE,2022-11-11,ActiveSubscription,118
AE,2022-11-12,ActiveSubscription,114
AE,2022-11-12,NewSubscription,1
AE,2022-11-13,ActiveSubscription,115
AE,2022-11-14,ActiveSubscription,115
AE,2022-11-15,ActiveSubscription,117
AE,2022-11-16,ActiveSubscription,117
AE,2022-11-17,ActiveSubscription,115
AE,2022-11-18,ActiveSubscription,114
AE,2022-11-18,NewSubscription,1
AE,2022-11-19,ActiveSubscription,112
AE,2022-11-20,ActiveSubscription,111
AE,2022-11-20,NewSubscription,1
AE,2022-11-21,ActiveSubscription,110
AE,2022-11-22,ActiveSubscription,107
AE,2022-11-23,ActiveSubscription,105
AE,2022-11-23,NewSubscription,1
AE,2022-11-24,ActiveSubscription,102
AE,2022-11-24,NewSubscription,1
AE,2022-11-25,ActiveSubscription,103
AE,2022-11-26,ActiveSubscription,105
AE,2022-11-26,NewSubscription,1
AE,2022-11-27,ActiveSubscription,106
AE,2022-11-27,NewSubscription,1
AE,2022-11-28,ActiveSubscription,106
AE,2022-11-28,NewSubscription,1
AE,2022-11-29,ActiveSubscription,105
AE,2022-11-30,ActiveSubscription,104
AE,2022-11-30,NewSubscription,1
AE,2022-12-01,ActiveSubscription,108
AE,2022-12-02,ActiveSubscription,106
AE,2022-12-02,NewSubscription,1
AE,2022-12-03,ActiveSubscription,105
AE,2022-12-04,ActiveSubscription,103
AF,2022-01-01,ActiveSubscription,1
AF,2022-01-02,ActiveSubscription,1
AF,2022-01-03,ActiveSubscription,1
AF,2022-01-04,ActiveSubscription,1
AF,2022-01-05,ActiveSubscription,1
AF,2022-01-06,ActiveSubscription,1
AF,2022-01-07,ActiveSubscription,1
AF,2022-01-08,ActiveSubscription,1
AF,2022-01-09,ActiveSubscription,1
AF,2022-01-10,ActiveSubscription,1
AF,2022-01-11,ActiveSubscription,1
AF,2022-01-12,ActiveSubscription,1
AF,2022-01-13,ActiveSubscription,1
AF,2022-01-14,ActiveSubscription,1
AF,2022-01-15,ActiveSubscription,1
AF,2022-01-16,ActiveSubscription,1
AF,2022-01-17,ActiveSubscription,1
AF,2022-01-18,ActiveSubscription,1
AF,2022-01-19,ActiveSubscription,1
AF,2022-01-20,ActiveSubscription,1
AF,2022-01-21,ActiveSubscription,1
AF,2022-01-22,ActiveSubscription,1
AF,2022-01-23,ActiveSubscription,1
AF,2022-01-24,ActiveSubscription,1
AF,2022-01-25,ActiveSubscription,1
AF,2022-01-26,ActiveSubscription,1
AF,2022-01-27,ActiveSubscription,1
AF,2022-01-28,ActiveSubscription,1
AF,2022-01-29,ActiveSubscription,1
AF,2022-01-30,ActiveSubscription,1
AF,2022-01-31,ActiveSubscription,1
AF,2022-02-01,ActiveSubscription,1
AF,2022-02-02,ActiveSubscription,1
AF,2022-02-03,ActiveSubscription,1
AF,2022-02-04,ActiveSubscription,1
AF,2022-02-05,ActiveSubscription,1
AF,2022-02-06,ActiveSubscription,1
AF,2022-02-07,ActiveSubscription,1
AF,2022-02-08,ActiveSubscription,1
AF,2022-02-09,ActiveSubscription,1
AF,2022-02-10,ActiveSubscription,1
AF,2022-02-11,ActiveSubscription,1
AF,2022-02-12,ActiveSubscription,1
AF,2022-02-13,ActiveSubscription,1
AF,2022-02-14,ActiveSubscription,1
AF,2022-02-15,ActiveSubscription,1
AF,2022-02-16,ActiveSubscription,1
AF,2022-02-17,ActiveSubscription,1
AF,2022-02-18,ActiveSubscription,1
AF,2022-02-19,ActiveSubscription,1
AF,2022-02-20,ActiveSubscription,1
AF,2022-02-21,ActiveSubscription,1
AF,2022-02-22,ActiveSubscription,1
